pollster,sample_size,type,dem,rep,bmonth,bday,year,emonth,eday,days_until_election,R_seats,D_seats,Other_seats,winner_party,R_majorvote_pct,D_majorvote_pct,president_party,H_incumbent_party,H_incumbent_party_winner,H_incumbent_party_majorvote_pct,rdi,rdi_change,rdi_change_pct,midterm_year,poll_margin,D_votemargin,poll_vote_diff
Emerson,1000,RV,50,42,10,1,2018,10,4,36,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,8,8.700000000000003,-4.350000000000001
Rasmussen Reports,2500,LV,45,45,9,30,2018,10,4,37,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,0,8.700000000000003,-9.350000000000001
Economist/YouGov,1227,RV,45,40,9,30,2018,10,2,37,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,5,8.700000000000003,-9.350000000000001
NPR/PBS/Marist,996,RV,48,42,10,1,2018,10,1,36,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,6,8.700000000000003,-6.350000000000001
IBD/TIPP,846,RV,45,43,9,27,2018,10,3,40,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,2,8.700000000000003,-9.350000000000001
Reuters/Ipsos,1840,LV,50,38,9,26,2018,10,2,41,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,12,8.700000000000003,-4.350000000000001
Harvard-Harris,1330,RV,45,37,9,29,2018,9,30,38,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,8,8.700000000000003,-9.350000000000001
Quinnipiac,1111,RV,49,42,9,27,2018,9,30,40,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,7,8.700000000000003,-5.350000000000001
Rasmussen Reports,2500,LV,47,42,9,23,2018,9,27,44,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,5,8.700000000000003,-7.350000000000001
Harvard-Harris,1228,RV,45,36,9,26,2018,9,27,41,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,9,8.700000000000003,-9.350000000000001
Economist/YouGov,1238,RV,46,38,9,23,2018,9,25,44,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,8,8.700000000000003,-8.350000000000001
NPR/PBS/Marist,802,RV,48,41,9,22,2018,9,24,45,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,7,8.700000000000003,-6.350000000000001
Reuters/Ipsos,1425,LV,48,41,9,19,2018,9,25,48,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,7,8.700000000000003,-6.350000000000001
Pew Research,1439,RV,52,42,9,18,2018,9,24,49,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,10,8.700000000000003,-2.3500000000000014
Bloomberg,NA,799,45,48,11,4,2016,11,6,4,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,-3,-1,-4.5
Economist/YouGov,NA,3677,45,42,11,4,2016,11,7,4,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,3,-1,-4.5
FOX News,NA,1295,45,46,11,3,2016,11,6,5,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,-1,-1,-4.5
NBC News/Wall St. Jrnl,NA,1282,47,44,11,3,2016,11,5,5,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,3,-1,-2.5
McClatchy/Marist,NA,940,48,47,11,1,2016,11,3,7,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,1,-1,-1.5
Economist/YouGov,NA,1228,46,41,10,30,2016,11,1,9,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,5,-1,-3.5
Reuters/Ipsos,NA,1858,42,41,10,29,2016,11,2,10,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,1,-1,-7.5
CBS News/NY Times,NA,1333,49,46,10,28,2016,11,1,11,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,3,-1,-0.5
Economist/YouGov,NA,1209,45,40,10,22,2016,10,26,17,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,5,-1,-4.5
FOX News,NA,1221,47,45,10,22,2016,10,25,17,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,2,-1,-2.5
ABC News,NA,828,47,46,10,22,2016,10,24,17,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,1,-1,-2.5
Associated Press-GfK,NA,1212,46,41,10,20,2016,10,24,19,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,5,-1,-3.5
CNN/ORC,NA,779,50,47,10,20,2016,10,23,19,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,3,-1,0.5
Reuters/Ipsos,NA,1170,44,39,10,20,2016,10,24,19,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,5,-1,-5.5
Economist/YouGov,NA,925,43,38,10,15,2016,10,18,24,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,5,-1,-6.5
Bloomberg,NA,1006,47,43,10,14,2016,10,17,25,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,4,-1,-2.5
Reuters/Ipsos,NA,1190,43,39,10,13,2016,10,17,26,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,4,-1,-6.5
CBS News,NA,1189,50,45,10,12,2016,10,16,27,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,5,-1,0.5
NBC News/Wall St. Jrnl,NA,905,47,44,10,10,2016,10,13,29,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,3,-1,-2.5
ABC News/Wash Post,NA,740,47,44,10,10,2016,10,13,29,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,3,-1,-2.5
FOX News,NA,917,48,42,10,10,2016,10,12,29,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,6,-1,-1.5
GWU/Battleground,NA,1000,47,42,10,8,2016,10,13,31,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,5,-1,-2.5
NBC News/Wall St. Jrnl,NA,900,48,42,10,8,2016,10,10,31,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,6,-1,-1.5
Reuters/Ipsos,NA,2363,46,36,10,6,2016,10,10,33,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,10,-1,-3.5
NBC News/Wall St. Jrnl,NA,500,49,42,10,8,2016,10,9,31,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,7,-1,-0.5
Economist/YouGov,NA,971,42,39,10,7,2016,10,8,32,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,3,-1,-7.5
Economist/YouGov,NA,911,43,37,10,1,2016,10,3,38,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,6,-1,-6.5
Reuters/Ipsos,NA,1669,42,38,9,29,2016,10,3,40,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,4,-1,-7.5
FOX News,NA,911,44,43,9,27,2016,9,29,42,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,1,-1,-5.5
Reuters/Ipsos,NA,1041,42,36,9,22,2016,9,26,47,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,6,-1,-7.5
Bloomberg,NA,1002,46,44,9,21,2016,9,24,48,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,2,-1,-3.5
Economist/YouGov,NA,948,43,38,9,22,2016,9,24,47,241,194,0,R,50.5,49.5,R,R,TRUE,50.5,13736.1,148.70000000000073,1.0943962789054629,pres,5,-1,-6.5
Politico/GWU/Battleground,NA,1000,47,46,11,4,2012,11,5,2,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,1,1.2199999999999989,-3.6099999999999994
CNN/Opinion Research,NA,693,49,48,11,2,2012,11,4,4,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,1,1.2199999999999989,-1.6099999999999994
Gallup,NA,2551,48,49,11,1,2012,11,4,5,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,-1,1.2199999999999989,-2.6099999999999994
Rasmussen Reports,NA,3500,46,46,10,29,2012,11,4,8,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,0,1.2199999999999989,-4.609999999999999
Politico/GWU/Battleground,NA,1000,46,46,10,29,2012,11,1,8,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,0,1.2199999999999989,-4.609999999999999
CBS News/NY Times,NA,563,46,48,10,25,2012,10,28,12,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,-2,1.2199999999999989,-4.609999999999999
Rasmussen Reports,NA,3500,46,43,10,22,2012,10,28,15,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,3,1.2199999999999989,-4.609999999999999
NPR,NA,1000,43,43,10,23,2012,10,25,14,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,0,1.2199999999999989,-7.609999999999999
Politico/GWU/Battleground,NA,1000,46,45,10,22,2012,10,25,15,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,1,1.2199999999999989,-4.609999999999999
Rasmussen Reports,NA,3500,44,43,10,15,2012,10,21,22,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,1,1.2199999999999989,-6.609999999999999
Politico/GWU/Battleground,NA,1000,46,46,10,15,2012,10,18,22,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,0,1.2199999999999989,-4.609999999999999
Rasmussen Reports,NA,3500,42,43,10,8,2012,10,14,29,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,-1,1.2199999999999989,-8.61
Politico/GWU/Battleground,NA,1000,44,46,10,7,2012,10,11,30,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,-2,1.2199999999999989,-6.609999999999999
Rasmussen Reports,NA,3500,43,44,10,1,2012,10,7,36,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,-1,1.2199999999999989,-7.609999999999999
Politico/GWU/Battleground,NA,1000,45,46,10,1,2012,10,4,36,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,-1,1.2199999999999989,-5.609999999999999
NPR,NA,800,45,48,9,26,2012,9,30,41,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,-3,1.2199999999999989,-5.609999999999999
Rasmussen Reports,NA,3500,45,41,9,24,2012,9,30,43,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,4,1.2199999999999989,-5.609999999999999
USA Today/Gallup,NA,1301,46,47,9,24,2012,9,27,43,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,-1,1.2199999999999989,-4.609999999999999
Politico/GWU/Battleground,NA,1000,44,46,9,24,2012,9,27,43,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,-2,1.2199999999999989,-6.609999999999999
Bloomberg,NA,789,45,43,9,21,2012,9,24,46,234,200,0,D,49.39,50.61,D,R,FALSE,49.39,12692.5,215.89999999999964,1.730439382524085,pres,2,1.2199999999999989,-5.609999999999999
GW/Battleground,NA,NA,47,44,10,31,2004,11,1,2,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,3,-2.739999999999995,-1.6300000000000026
CNN/USA Today/Gallup,NA,NA,46,47,10,29,2004,10,31,4,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-1,-2.739999999999995,-2.6300000000000026
NBC/WSJ,NA,NA,43,44,10,29,2004,10,31,4,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-1,-2.739999999999995,-5.630000000000003
Rasmussen,NA,NA,42,48,10,29,2004,10,31,4,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-6,-2.739999999999995,-6.630000000000003
Democracy Corps (D),NA,NA,46,48,10,29,2004,10,31,4,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-2,-2.739999999999995,-2.6300000000000026
Newsweek,NA,NA,49,44,10,27,2004,10,29,6,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,5,-2.739999999999995,0.36999999999999744
Democracy Corps (D),NA,NA,45,48,10,26,2004,10,28,7,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-3,-2.739999999999995,-3.6300000000000026
GW/Battleground,NA,NA,44,45,10,25,2004,10,28,8,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-1,-2.739999999999995,-4.630000000000003
Rasmussen,NA,NA,43,44,10,25,2004,10,27,8,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-1,-2.739999999999995,-5.630000000000003
Democracy Corps (D),NA,NA,42,51,10,24,2004,10,25,9,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-9,-2.739999999999995,-6.630000000000003
CNN/USA Today/Gallup,NA,NA,50,47,10,22,2004,10,24,11,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,3,-2.739999999999995,1.3699999999999974
Newsweek,NA,NA,47,46,10,21,2004,10,22,12,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,1,-2.739999999999995,-1.6300000000000026
Democracy Corps (D),NA,NA,44,49,10,20,2004,10,21,13,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-5,-2.739999999999995,-4.630000000000003
GW/Battleground,NA,NA,43,46,10,18,2004,10,21,15,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-3,-2.739999999999995,-5.630000000000003
AP-Ipsos,NA,NA,46,47,10,18,2004,10,20,15,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-1,-2.739999999999995,-2.6300000000000026
CBS News,NA,NA,39,45,10,14,2004,10,17,19,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-6,-2.739999999999995,-9.630000000000003
Rasmussen,NA,NA,42,44,10,14,2004,10,16,19,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-2,-2.739999999999995,-6.630000000000003
Newsweek,NA,NA,43,46,10,14,2004,10,15,19,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-3,-2.739999999999995,-5.630000000000003
GW/Battleground,NA,NA,40,44,10,11,2004,10,14,22,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-4,-2.739999999999995,-8.630000000000003
Rasmussen,NA,NA,42,44,10,7,2004,10,9,26,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-2,-2.739999999999995,-6.630000000000003
GW/Battleground,NA,NA,42,43,10,4,2004,10,7,29,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-1,-2.739999999999995,-6.630000000000003
AP-Ipsos,NA,NA,44,48,10,4,2004,10,6,29,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-4,-2.739999999999995,-4.630000000000003
Rasmussen,NA,NA,41,46,10,3,2004,10,5,30,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-5,-2.739999999999995,-7.630000000000003
Democracy Corps (D),NA,NA,45,49,10,3,2004,10,5,30,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-4,-2.739999999999995,-3.6300000000000026
GW/Battleground,NA,NA,42,45,9,27,2004,9,30,36,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-3,-2.739999999999995,-6.630000000000003
Rasmussen,NA,NA,41,43,9,26,2004,9,28,37,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-2,-2.739999999999995,-7.630000000000003
GW/Battleground,NA,NA,43,44,9,20,2004,9,23,43,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-1,-2.739999999999995,-5.630000000000003
AP-Ipsos,NA,NA,49,46,9,20,2004,9,22,43,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,3,-2.739999999999995,0.36999999999999744
Democracy Corps (D),NA,NA,45,48,9,19,2004,9,21,44,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-3,-2.739999999999995,-3.6300000000000026
NBC/WSJ,NA,NA,42,46,9,17,2004,9,19,46,232,202,1,R,51.37,48.63,R,R,TRUE,51.37,10670.2,104.10000000000036,0.9852263370590864,pres,-4,-2.739999999999995,-6.630000000000003
